Metric,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Total Revenue,30127000000.0,29135000000.0,28496000000.0,27784000000.0,
EBITDA,5058000000.0,5058000000.0,4707000000.0,4711000000.0,
EBIT,2494000000.0,2442000000.0,2227000000.0,2114000000.0,
Net Income,2579000000.0,2025000000.0,868000000.0,3427000000.0,
Interest Expense,117000000.0,104000000.0,121000000.0,211000000.0,
Cash And Cash Equivalents,14846000000.0,4270000000.0,4163000000.0,3996000000.0,
Total Debt,19816000000.0,13515000000.0,13484000000.0,14578000000.0,
Depreciation And Amortization,2564000000.0,2616000000.0,2480000000.0,2597000000.0,
Capital Expenditure,-2367000000.0,-2828000000.0,-3122000000.0,-2502000000.0,
Operating Cash Flow,4341000000.0,4428000000.0,4593000000.0,5871000000.0,
Current Stock Price,19.81,,,,
Beta,1.383,,,,
Shares Outstanding,1312220032.0,,,,
