Metric,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Total Revenue,391035000000.0,383285000000.0,394328000000.0,365817000000.0,
EBITDA,134661000000.0,125820000000.0,130541000000.0,123136000000.0,
EBIT,123216000000.0,114301000000.0,119437000000.0,111852000000.0,
Net Income,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Interest Expense,,3933000000.0,2931000000.0,2645000000.0,2873000000.0
Cash And Cash Equivalents,29943000000.0,29965000000.0,23646000000.0,34940000000.0,
Total Debt,106629000000.0,111088000000.0,132480000000.0,136522000000.0,
Depreciation And Amortization,11445000000.0,11519000000.0,11104000000.0,11284000000.0,
Capital Expenditure,-9447000000.0,-10959000000.0,-10708000000.0,-11085000000.0,
Operating Cash Flow,118254000000.0,110543000000.0,122151000000.0,104038000000.0,
Current Stock Price,202.38,,,,
Beta,1.165,,,,
Shares Outstanding,14840399872.0,,,,
