Metric,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Total Revenue,13003000000.0,12318000000.0,18793000000.0,16922000000.0
EBITDA,324000000.0,-410000000.0,3404000000.0,2465000000.0
EBIT,-244000000.0,-1238000000.0,2475000000.0,1253000000.0
Net Income,-798000000.0,-1684000000.0,1546000000.0,821000000.0
Interest Expense,417000000.0,312000000.0,304000000.0,326000000.0
Cash And Cash Equivalents,1879000000.0,2023000000.0,2327000000.0,3370000000.0
Total Debt,7434000000.0,7070000000.0,7022000000.0,8725000000.0
Depreciation And Amortization,568000000.0,828000000.0,929000000.0,1212000000.0
Capital Expenditure,-487000000.0,-821000000.0,-1122000000.0,-1146000000.0
Operating Cash Flow,-294000000.0,-408000000.0,1880000000.0,1898000000.0
Current Stock Price,76.55,,,
Beta,1.642,,,
Shares Outstanding,348878016.0,,,
